File created on 12/04/2012 at 16:22:38

[header]
satellites
time
latitude
longitude
height

[channel units]

[comments]
Log Rate (Hz) : 1
Software Version : 2.1.1 (Build 001)
Created from KML File
Track Offset (metres):0.00;0.00

[column names]
sats time lat long height 
[data]
020 000000.00 +00077.37581 -06231.65757 +00000.00 
020 000000.00 +00077.37491 -06231.66492 +00000.00 
020 000000.00 +00077.37348 -06231.66888 +00000.00 
020 000000.00 +00077.37246 -06231.67093 +00000.00 
020 000000.00 +00077.37014 -06231.67418 +00000.00 
020 000000.00 +00077.36763 -06231.67555 +00000.00 
020 000000.00 +00077.36419 -06231.67739 +00000.00 
020 000000.00 +00077.35986 -06231.67760 +00000.00 
020 000000.00 +00077.35548 -06231.67733 +00000.00 
020 000000.00 +00077.35189 -06231.67723 +00000.00 
020 000000.00 +00077.34797 -06231.67771 +00000.00 
020 000000.00 +00077.34298 -06231.67951 +00000.00 
020 000000.00 +00077.33962 -06231.68395 +00000.00 
020 000000.00 +00077.33702 -06231.68966 +00000.00 
020 000000.00 +00077.33500 -06231.69456 +00000.00 
020 000000.00 +00077.33353 -06231.70040 +00000.00 
020 000000.00 +00077.33245 -06231.70808 +00000.00 
020 000000.00 +00077.33218 -06231.71271 +00000.00 
020 000000.00 +00077.33108 -06231.73162 +00000.00 
020 000000.00 +00077.32894 -06231.76953 +00000.00 
020 000000.00 +00077.32656 -06231.79459 +00000.00 
020 000000.00 +00077.32567 -06231.82218 +00000.00 
020 000000.00 +00077.32532 -06231.82808 +00000.00 
020 000000.00 +00077.32560 -06231.83299 +00000.00 
020 000000.00 +00077.32692 -06231.83709 +00000.00 
020 000000.00 +00077.32936 -06231.83922 +00000.00 
020 000000.00 +00077.34601 -06231.85049 +00000.00 
020 000000.00 +00077.35805 -06231.85899 +00000.00 
020 000000.00 +00077.36269 -06231.86190 +00000.00 
020 000000.00 +00077.36658 -06231.86327 +00000.00 
020 000000.00 +00077.37264 -06231.86407 +00000.00 
020 000000.00 +00077.37811 -06231.86422 +00000.00 
020 000000.00 +00077.38547 -06231.86326 +00000.00 
020 000000.00 +00077.39566 -06231.86257 +00000.00 
020 000000.00 +00077.40796 -06231.86051 +00000.00 
020 000000.00 +00077.44209 -06231.85486 +00000.00 
020 000000.00 +00077.47709 -06231.84941 +00000.00 
020 000000.00 +00077.49126 -06231.84691 +00000.00 
020 000000.00 +00077.51474 -06231.84415 +00000.00 
020 000000.00 +00077.51766 -06231.84402 +00000.00 
020 000000.00 +00077.53345 -06231.84512 +00000.00 
020 000000.00 +00077.53713 -06231.84487 +00000.00 
020 000000.00 +00077.54103 -06231.84415 +00000.00 
020 000000.00 +00077.57184 -06231.83940 +00000.00 
020 000000.00 +00077.59787 -06231.83589 +00000.00 
020 000000.00 +00077.61052 -06231.83420 +00000.00 
020 000000.00 +00077.64726 -06231.82715 +00000.00 
020 000000.00 +00077.64939 -06231.82565 +00000.00 
020 000000.00 +00077.65128 -06231.82336 +00000.00 
020 000000.00 +00077.65324 -06231.82026 +00000.00 
020 000000.00 +00077.65472 -06231.81658 +00000.00 
020 000000.00 +00077.65499 -06231.81198 +00000.00 
020 000000.00 +00077.65570 -06231.80727 +00000.00 
020 000000.00 +00077.65734 -06231.80237 +00000.00 
020 000000.00 +00077.65993 -06231.79632 +00000.00 
020 000000.00 +00077.66344 -06231.79081 +00000.00 
020 000000.00 +00077.66882 -06231.78397 +00000.00 
020 000000.00 +00077.67536 -06231.77759 +00000.00 
020 000000.00 +00077.67978 -06231.77333 +00000.00 
020 000000.00 +00077.68390 -06231.76969 +00000.00 
020 000000.00 +00077.68697 -06231.76718 +00000.00 
020 000000.00 +00077.68779 -06231.76457 +00000.00 
020 000000.00 +00077.68851 -06231.76199 +00000.00 
020 000000.00 +00077.68817 -06231.75895 +00000.00 
020 000000.00 +00077.68658 -06231.75571 +00000.00 
020 000000.00 +00077.68361 -06231.75392 +00000.00 
020 000000.00 +00077.67497 -06231.75344 +00000.00 
020 000000.00 +00077.65614 -06231.75193 +00000.00 
020 000000.00 +00077.65050 -06231.75184 +00000.00 
020 000000.00 +00077.64168 -06231.75168 +00000.00 
020 000000.00 +00077.63545 -06231.75168 +00000.00 
020 000000.00 +00077.62765 -06231.75312 +00000.00 
020 000000.00 +00077.61604 -06231.75619 +00000.00 
020 000000.00 +00077.60777 -06231.75889 +00000.00 
020 000000.00 +00077.58665 -06231.76575 +00000.00 
020 000000.00 +00077.55946 -06231.77512 +00000.00 
020 000000.00 +00077.53285 -06231.78143 +00000.00 
020 000000.00 +00077.51833 -06231.78324 +00000.00 
020 000000.00 +00077.50714 -06231.78428 +00000.00 
020 000000.00 +00077.49741 -06231.78315 +00000.00 
020 000000.00 +00077.49107 -06231.78076 +00000.00 
020 000000.00 +00077.48677 -06231.77790 +00000.00 
020 000000.00 +00077.48396 -06231.77477 +00000.00 
020 000000.00 +00077.47977 -06231.76927 +00000.00 
020 000000.00 +00077.47606 -06231.76151 +00000.00 
020 000000.00 +00077.47276 -06231.75129 +00000.00 
020 000000.00 +00077.47126 -06231.74323 +00000.00 
020 000000.00 +00077.47051 -06231.73463 +00000.00 
020 000000.00 +00077.47206 -06231.72146 +00000.00 
020 000000.00 +00077.47341 -06231.71052 +00000.00 
020 000000.00 +00077.47602 -06231.69347 +00000.00 
020 000000.00 +00077.47868 -06231.67995 +00000.00 
020 000000.00 +00077.48009 -06231.66130 +00000.00 
020 000000.00 +00077.48137 -06231.62496 +00000.00 
020 000000.00 +00077.48264 -06231.60506 +00000.00 
020 000000.00 +00077.48474 -06231.57804 +00000.00 
020 000000.00 +00077.48588 -06231.56299 +00000.00 
020 000000.00 +00077.48642 -06231.54870 +00000.00 
020 000000.00 +00077.48704 -06231.54063 +00000.00 
020 000000.00 +00077.48826 -06231.53314 +00000.00 
020 000000.00 +00077.49013 -06231.52609 +00000.00 
020 000000.00 +00077.49710 -06231.50733 +00000.00 
020 000000.00 +00077.50718 -06231.48769 +00000.00 
020 000000.00 +00077.51809 -06231.46858 +00000.00 
020 000000.00 +00077.53524 -06231.44104 +00000.00 
020 000000.00 +00077.55101 -06231.41467 +00000.00 
020 000000.00 +00077.56578 -06231.38875 +00000.00 
020 000000.00 +00077.57210 -06231.37836 +00000.00 
020 000000.00 +00077.57905 -06231.36645 +00000.00 
020 000000.00 +00077.58173 -06231.36235 +00000.00 
020 000000.00 +00077.58330 -06231.35901 +00000.00 
020 000000.00 +00077.58399 -06231.35590 +00000.00 
020 000000.00 +00077.58375 -06231.35313 +00000.00 
020 000000.00 +00077.58207 -06231.35067 +00000.00 
020 000000.00 +00077.54562 -06231.32657 +00000.00 
020 000000.00 +00077.52188 -06231.31227 +00000.00 
020 000000.00 +00077.50985 -06231.30663 +00000.00 
020 000000.00 +00077.50223 -06231.30292 +00000.00 
020 000000.00 +00077.49652 -06231.30028 +00000.00 
020 000000.00 +00077.49482 -06231.29698 +00000.00 
020 000000.00 +00077.49338 -06231.29064 +00000.00 
020 000000.00 +00077.49396 -06231.28514 +00000.00 
020 000000.00 +00077.49643 -06231.28002 +00000.00 
020 000000.00 +00077.50451 -06231.27282 +00000.00 
020 000000.00 +00077.51760 -06231.26243 +00000.00 
020 000000.00 +00077.52889 -06231.25272 +00000.00 
020 000000.00 +00077.53625 -06231.24518 +00000.00 
020 000000.00 +00077.54495 -06231.23525 +00000.00 
020 000000.00 +00077.54968 -06231.22747 +00000.00 
020 000000.00 +00077.55342 -06231.21976 +00000.00 
020 000000.00 +00077.55413 -06231.21423 +00000.00 
020 000000.00 +00077.55257 -06231.20872 +00000.00 
020 000000.00 +00077.54827 -06231.20251 +00000.00 
020 000000.00 +00077.54539 -06231.20046 +00000.00 
020 000000.00 +00077.53746 -06231.19451 +00000.00 
020 000000.00 +00077.52167 -06231.18558 +00000.00 
020 000000.00 +00077.47171 -06231.15697 +00000.00 
020 000000.00 +00077.40845 -06231.12254 +00000.00 
020 000000.00 +00077.36846 -06231.10103 +00000.00 
020 000000.00 +00077.36172 -06231.09912 +00000.00 
020 000000.00 +00077.35552 -06231.09836 +00000.00 
020 000000.00 +00077.34979 -06231.09899 +00000.00 
020 000000.00 +00077.34321 -06231.10471 +00000.00 
020 000000.00 +00077.33803 -06231.11038 +00000.00 
020 000000.00 +00077.33296 -06231.11926 +00000.00 
020 000000.00 +00077.32791 -06231.12619 +00000.00 
020 000000.00 +00077.32065 -06231.13155 +00000.00 
020 000000.00 +00077.30992 -06231.13726 +00000.00 
020 000000.00 +00077.29423 -06231.14194 +00000.00 
020 000000.00 +00077.28466 -06231.14357 +00000.00 
020 000000.00 +00077.27598 -06231.14662 +00000.00 
020 000000.00 +00077.26698 -06231.15371 +00000.00 
020 000000.00 +00077.25746 -06231.16379 +00000.00 
020 000000.00 +00077.24505 -06231.18020 +00000.00 
020 000000.00 +00077.23326 -06231.19286 +00000.00 
020 000000.00 +00077.22410 -06231.20158 +00000.00 
020 000000.00 +00077.21861 -06231.20617 +00000.00 
020 000000.00 +00077.21163 -06231.21147 +00000.00 
020 000000.00 +00077.20818 -06231.21539 +00000.00 
020 000000.00 +00077.20657 -06231.21801 +00000.00 
020 000000.00 +00077.20632 -06231.22110 +00000.00 
020 000000.00 +00077.20719 -06231.22376 +00000.00 
020 000000.00 +00077.21179 -06231.22485 +00000.00 
020 000000.00 +00077.30428 -06231.24316 +00000.00 
020 000000.00 +00077.36134 -06231.25334 +00000.00 
020 000000.00 +00077.41512 -06231.26349 +00000.00 
020 000000.00 +00077.42833 -06231.26736 +00000.00 
020 000000.00 +00077.47990 -06231.28541 +00000.00 
