File created on 06/10/2010 at 11:41:52

[header]
satellites
time
latitude
longitude
height

[channel units]

[comments]
Log Rate (Hz) : 1
Software Version : 1.9.8 (Build 004)
Created from KML File
Track Offset (metres):0.00;0.00

[column names]
sats time lat long height 
[data]
020 000000.00 +02640.18870 -00682.52610 +00311.74 
020 000000.00 +02640.18912 -00682.52712 +00311.75 
020 000000.00 +02640.18948 -00682.52808 +00311.74 
020 000000.00 +02640.18984 -00682.52910 +00311.75 
020 000000.00 +02640.19014 -00682.53018 +00311.75 
020 000000.00 +02640.19044 -00682.53126 +00311.77 
020 000000.00 +02640.19074 -00682.53234 +00311.80 
020 000000.00 +02640.19098 -00682.53342 +00311.82 
020 000000.00 +02640.19116 -00682.53450 +00311.85 
020 000000.00 +02640.19140 -00682.53564 +00311.87 
020 000000.00 +02640.19152 -00682.53672 +00311.90 
020 000000.00 +02640.19170 -00682.53786 +00311.93 
020 000000.00 +02640.19182 -00682.53900 +00311.96 
020 000000.00 +02640.19188 -00682.54014 +00311.98 
020 000000.00 +02640.19194 -00682.54128 +00312.00 
020 000000.00 +02640.19194 -00682.54248 +00312.04 
020 000000.00 +02640.19200 -00682.54362 +00312.16 
020 000000.00 +02640.19194 -00682.54470 +00312.28 
020 000000.00 +02640.19188 -00682.54590 +00312.40 
020 000000.00 +02640.19182 -00682.54704 +00312.51 
020 000000.00 +02640.19170 -00682.54812 +00312.64 
020 000000.00 +02640.19152 -00682.54926 +00312.76 
020 000000.00 +02640.19134 -00682.55040 +00312.85 
020 000000.00 +02640.19116 -00682.55148 +00312.95 
020 000000.00 +02640.19092 -00682.55262 +00313.06 
020 000000.00 +02640.19062 -00682.55370 +00313.16 
020 000000.00 +02640.19032 -00682.55478 +00313.28 
020 000000.00 +02640.19002 -00682.55586 +00313.38 
020 000000.00 +02640.18966 -00682.55688 +00313.49 
020 000000.00 +02640.18930 -00682.55796 +00313.59 
020 000000.00 +02640.18888 -00682.55892 +00313.70 
020 000000.00 +02640.18846 -00682.55994 +00313.81 
020 000000.00 +02640.18798 -00682.56090 +00313.93 
020 000000.00 +02640.18750 -00682.56186 +00314.03 
020 000000.00 +02640.18696 -00682.56282 +00314.14 
020 000000.00 +02640.18642 -00682.56372 +00314.24 
020 000000.00 +02640.18588 -00682.56462 +00314.34 
020 000000.00 +02640.18528 -00682.56546 +00314.44 
020 000000.00 +02640.18468 -00682.56630 +00314.57 
020 000000.00 +02640.18402 -00682.56714 +00314.70 
020 000000.00 +02640.18336 -00682.56792 +00314.84 
020 000000.00 +02640.18270 -00682.56864 +00314.96 
020 000000.00 +02640.18204 -00682.56936 +00315.06 
020 000000.00 +02640.18132 -00682.57008 +00315.18 
020 000000.00 +02640.18054 -00682.57080 +00315.29 
020 000000.00 +02640.17982 -00682.57140 +00315.39 
020 000000.00 +02640.17904 -00682.57206 +00315.51 
020 000000.00 +02640.17826 -00682.57266 +00315.63 
020 000000.00 +02640.17742 -00682.57320 +00315.72 
020 000000.00 +02640.17664 -00682.57374 +00315.83 
020 000000.00 +02640.17580 -00682.57428 +00315.94 
020 000000.00 +02640.17490 -00682.57476 +00316.06 
020 000000.00 +02640.17406 -00682.57518 +00316.17 
020 000000.00 +02640.17316 -00682.57566 +00316.30 
020 000000.00 +02640.17226 -00682.57602 +00316.39 
020 000000.00 +02640.17142 -00682.57638 +00316.46 
020 000000.00 +02640.17052 -00682.57674 +00316.54 
020 000000.00 +02640.16956 -00682.57704 +00316.64 
020 000000.00 +02640.16866 -00682.57734 +00316.75 
020 000000.00 +02640.16776 -00682.57758 +00316.86 
020 000000.00 +02640.16680 -00682.57782 +00316.98 
020 000000.00 +02640.16590 -00682.57800 +00317.11 
020 000000.00 +02640.16494 -00682.57818 +00317.22 
020 000000.00 +02640.16398 -00682.57830 +00317.29 
020 000000.00 +02640.16302 -00682.57842 +00317.35 
020 000000.00 +02640.16200 -00682.57848 +00317.42 
020 000000.00 +02640.16104 -00682.57854 +00317.47 
020 000000.00 +02640.16002 -00682.57860 +00317.50 
020 000000.00 +02640.15900 -00682.57866 +00317.54 
020 000000.00 +02640.15798 -00682.57866 +00317.59 
020 000000.00 +02640.15696 -00682.57860 +00317.64 
020 000000.00 +02640.15594 -00682.57854 +00317.69 
020 000000.00 +02640.15492 -00682.57848 +00317.74 
020 000000.00 +02640.15390 -00682.57836 +00317.79 
020 000000.00 +02640.15282 -00682.57824 +00317.84 
020 000000.00 +02640.15180 -00682.57812 +00317.88 
020 000000.00 +02640.15072 -00682.57794 +00317.94 
020 000000.00 +02640.14964 -00682.57776 +00317.98 
020 000000.00 +02640.14856 -00682.57758 +00318.04 
020 000000.00 +02640.14748 -00682.57740 +00318.10 
020 000000.00 +02640.14640 -00682.57716 +00318.16 
020 000000.00 +02640.14532 -00682.57692 +00318.21 
020 000000.00 +02640.14418 -00682.57668 +00318.28 
020 000000.00 +02640.14310 -00682.57638 +00318.35 
020 000000.00 +02640.14196 -00682.57614 +00318.42 
020 000000.00 +02640.14082 -00682.57590 +00318.49 
020 000000.00 +02640.13974 -00682.57560 +00318.55 
020 000000.00 +02640.13860 -00682.57536 +00318.60 
020 000000.00 +02640.13746 -00682.57506 +00318.65 
020 000000.00 +02640.13632 -00682.57476 +00318.69 
020 000000.00 +02640.13518 -00682.57446 +00318.72 
020 000000.00 +02640.13404 -00682.57416 +00318.76 
020 000000.00 +02640.13290 -00682.57386 +00318.80 
020 000000.00 +02640.13182 -00682.57356 +00318.81 
020 000000.00 +02640.13068 -00682.57332 +00318.84 
020 000000.00 +02640.12966 -00682.57302 +00318.86 
020 000000.00 +02640.12864 -00682.57278 +00318.88 
020 000000.00 +02640.12756 -00682.57248 +00318.89 
020 000000.00 +02640.12660 -00682.57224 +00318.90 
020 000000.00 +02640.12564 -00682.57194 +00318.92 
020 000000.00 +02640.12468 -00682.57170 +00318.95 
020 000000.00 +02640.12378 -00682.57146 +00318.95 
020 000000.00 +02640.12288 -00682.57128 +00318.94 
020 000000.00 +02640.12198 -00682.57104 +00318.98 
020 000000.00 +02640.12114 -00682.57080 +00319.00 
020 000000.00 +02640.12024 -00682.57062 +00319.02 
020 000000.00 +02640.11940 -00682.57038 +00319.03 
020 000000.00 +02640.11856 -00682.57014 +00319.04 
020 000000.00 +02640.11772 -00682.56996 +00319.06 
020 000000.00 +02640.11688 -00682.56972 +00319.08 
020 000000.00 +02640.11604 -00682.56948 +00319.08 
020 000000.00 +02640.11520 -00682.56930 +00319.10 
020 000000.00 +02640.11436 -00682.56906 +00319.10 
020 000000.00 +02640.11352 -00682.56888 +00319.11 
020 000000.00 +02640.11274 -00682.56864 +00319.12 
020 000000.00 +02640.11190 -00682.56846 +00319.15 
020 000000.00 +02640.11112 -00682.56822 +00319.14 
020 000000.00 +02640.11028 -00682.56804 +00319.17 
020 000000.00 +02640.10944 -00682.56780 +00319.19 
020 000000.00 +02640.10866 -00682.56762 +00319.20 
020 000000.00 +02640.10788 -00682.56744 +00319.20 
020 000000.00 +02640.10710 -00682.56720 +00319.24 
020 000000.00 +02640.10632 -00682.56702 +00319.26 
020 000000.00 +02640.10560 -00682.56678 +00319.28 
020 000000.00 +02640.10482 -00682.56660 +00319.31 
020 000000.00 +02640.10410 -00682.56642 +00319.34 
020 000000.00 +02640.10344 -00682.56624 +00319.35 
020 000000.00 +02640.10272 -00682.56606 +00319.38 
020 000000.00 +02640.10200 -00682.56588 +00319.42 
020 000000.00 +02640.10134 -00682.56570 +00319.46 
020 000000.00 +02640.10062 -00682.56552 +00319.51 
020 000000.00 +02640.09996 -00682.56534 +00319.55 
020 000000.00 +02640.09930 -00682.56516 +00319.59 
020 000000.00 +02640.09864 -00682.56498 +00319.64 
020 000000.00 +02640.09798 -00682.56474 +00319.72 
020 000000.00 +02640.09732 -00682.56456 +00319.79 
020 000000.00 +02640.09666 -00682.56438 +00319.87 
020 000000.00 +02640.09600 -00682.56420 +00319.94 
020 000000.00 +02640.09540 -00682.56408 +00320.01 
020 000000.00 +02640.09474 -00682.56390 +00320.06 
020 000000.00 +02640.09414 -00682.56378 +00320.10 
020 000000.00 +02640.09348 -00682.56366 +00320.16 
020 000000.00 +02640.09288 -00682.56354 +00320.21 
