File created on 20/04/2007 at 10:23:46

[header]
satellites
time
latitude
longitude
YAW__
YAW_

[channel units]



[comments]
Log Rate (Hz) : 1
Software Version : 1.7.1 (Build 045)
Created from KML File

[column names]
sats time lat long YAW__ YAW_ 
[data]
020 000000.00 +03124.72926 +00060.94242 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72932 +00060.94116 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72938 +00060.93990 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72944 +00060.93858 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72950 +00060.93732 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72956 +00060.93600 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72968 +00060.93474 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73122 +00060.90628 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73122 +00060.90628 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73972 +00060.77394 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74154 +00060.74596 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74150 +00060.74286 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74156 +00060.74172 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74162 +00060.74052 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74168 +00060.73938 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74168 +00060.73824 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74168 +00060.73704 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74162 +00060.73584 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74150 +00060.73464 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74144 +00060.73350 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74132 +00060.73230 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74126 +00060.73116 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74108 +00060.73002 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74096 +00060.72882 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74084 +00060.72768 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74066 +00060.72660 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74048 +00060.72546 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74030 +00060.72432 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.74006 +00060.72318 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73988 +00060.72204 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73964 +00060.72090 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73940 +00060.71982 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73916 +00060.71874 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73892 +00060.71760 +0.00000E+00 +0.00000E+00 
