File created on 3/23/2011 at 2:28:02 PM

[header]
satellites
time
latitude
longitude
height

[channel units]

[comments]
Log Rate (Hz) : 1
Software Version : 1.9.8 (Build 004)
Created from KML File
Track Offset (metres):0.00;0.00

[column names]
sats time lat long height 
[data]
020 000000.00 +02737.42689 -00557.26254 +00000.00 
020 000000.00 +02737.40662 -00557.22968 +00000.00 
020 000000.00 +02737.38008 -00557.18716 +00000.00 
020 000000.00 +02737.36652 -00557.16475 +00000.00 
020 000000.00 +02737.36419 -00557.16101 +00000.00 
020 000000.00 +02737.36226 -00557.15870 +00000.00 
020 000000.00 +02737.36020 -00557.15687 +00000.00 
020 000000.00 +02737.35816 -00557.15581 +00000.00 
020 000000.00 +02737.35500 -00557.15547 +00000.00 
020 000000.00 +02737.35079 -00557.15613 +00000.00 
020 000000.00 +02737.33413 -00557.15883 +00000.00 
020 000000.00 +02737.33143 -00557.15910 +00000.00 
020 000000.00 +02737.32846 -00557.15912 +00000.00 
020 000000.00 +02737.32517 -00557.15862 +00000.00 
020 000000.00 +02737.32156 -00557.15807 +00000.00 
020 000000.00 +02737.31522 -00557.15693 +00000.00 
020 000000.00 +02737.31027 -00557.15508 +00000.00 
020 000000.00 +02737.30638 -00557.15285 +00000.00 
020 000000.00 +02737.30262 -00557.15058 +00000.00 
020 000000.00 +02737.29718 -00557.14614 +00000.00 
020 000000.00 +02737.29176 -00557.14109 +00000.00 
020 000000.00 +02737.28634 -00557.13443 +00000.00 
020 000000.00 +02737.28161 -00557.12690 +00000.00 
020 000000.00 +02737.27738 -00557.11908 +00000.00 
020 000000.00 +02737.27476 -00557.11395 +00000.00 
020 000000.00 +02737.27296 -00557.11122 +00000.00 
020 000000.00 +02737.27084 -00557.10891 +00000.00 
020 000000.00 +02737.26848 -00557.10750 +00000.00 
020 000000.00 +02737.26701 -00557.10672 +00000.00 
020 000000.00 +02737.26477 -00557.10596 +00000.00 
020 000000.00 +02737.26246 -00557.10548 +00000.00 
020 000000.00 +02737.25810 -00557.10440 +00000.00 
